                1e-05,                     0,              0.005353,           0.005353507,                    24,                   876,      75.4085766628529,      3085.23306448756,     -2343.62466798585,    0.0968693595367137,     -1.49354929438119,     -2.35376559963545,      95.9179763721002,      1.00000217406326,     0.999999150985634,      1.00000009842146,      1.00000156324363,      1.00000227611967,     0.999999951254194,     0.999999999999999,    0.0001639426598814,  -0.00261940941709327, -0.000230662929425307,   1.5143017265129e-07,  -3.3994891872613e-06,  1.14736207201815e-07,   -7.105427357601e-14,      16.7550898061721
                1e-06,                     0,              0.005518,           0.005519324,                    25,                   876,      75.4085816753871,      3085.23305336164,      -2343.6246703383,    0.0968693647501868,     -1.49354931075529,      -2.3537656015131,      95.9179763721002,      1.00000123578737,     0.999999502638388,      1.00000004416231,      1.00000087778112,       1.0000013244984,     0.999999952846606,                     1,  9.31888580169016e-05,  -0.00153447724687794, -0.000103499882243341,  8.50300249100044e-08,  -1.9782010467484e-06,  1.10988041868154e-07,   4.2632564145606e-14,      16.7550894843555
                1e-07,                     0,              0.005823,           0.005825033,                    27,                   876,      75.4085828164064,      3085.23304994534,      -2343.6246708834,    0.0968693658892243,     -1.49354931573118,       -2.353765601403,      95.9179763721003,      1.00000047917925,     0.999999833558104,      1.00000003004604,      1.00000033240248,      1.00000048891718,     0.999999980816587,                     1,  3.61342106600659e-05, -0.000513512124598492, -7.04166454852384e-05,  3.21996071611652e-08, -7.30221567657452e-07,  4.51532584655467e-08,  3.97903932025656e-13,      16.7550893948135
                1e-08,                     0,              0.006354,           0.006355138,                    29,                   876,      75.4085828593354,       3085.2330498457,     -2343.62467089463,    0.0968693659314985,     -1.49354931587565,     -2.35376560138956,      95.9179763721001,      1.00000006472772,     0.999999973548357,      1.00000000117699,       1.0000000425292,      1.00000007813876,     0.999999993145698,     0.999999999999999,  4.88102543272362e-06, -8.16094852780225e-05, -2.75841694019618e-06,  4.11977621461723e-09, -1.16704078623187e-07,  1.61334199333396e-08,  -5.6843418860808e-14,      16.7550893922954
                1e-09,                     0,              0.006439,           0.006439209,                    30,                   876,      75.4085828719074,      3085.23304980124,     -2343.62467090016,    0.0968693659438216,     -1.49354931593994,      -2.3537656013848,      95.9179763721001,      1.00000001389489,     0.999999995803086,      1.00000000072887,      1.00000001003972,      1.00000001209622,     0.999999999749703,                     1,  1.04779419984879e-06, -1.29484574244998e-05, -1.70819839695469e-06,  9.72541269739224e-10,  -1.8066298013153e-08,  5.89140736195759e-10,  1.70530256582424e-13,      16.7550893911755
                1e-10,                     0,              0.007083,           0.007082995,                    33,                   876,      75.4085828720874,      3085.23304980673,     -2343.62467090173,    0.0968693659440415,     -1.49354931593147,     -2.35376560138782,      95.9179763721001,      1.00000000295627,     0.999999999197141,      1.00000000013464,      1.00000000213159,      1.00000000234509,     0.999999999926861,     0.999999999999999,  2.22927809545581e-07, -2.47700609179446e-06, -3.15537363348994e-07,  2.06485800680056e-10, -3.50251005976077e-09,  1.72151626287587e-10,  -8.5265128291212e-14,      16.7550893913078
                1e-11,                     0,              0.007454,           0.007454635,                    36,                   876,      75.4085828721961,      3085.23304980621,     -2343.62467090166,    0.0968693659441398,     -1.49354931593225,     -2.35376560138759,      95.9179763721001,      1.00000000096138,     0.999999999774883,      1.00000000005158,      1.00000000070161,      1.00000000066147,     0.999999999988877,                     1,   7.2495978997722e-08, -6.94536993250949e-07, -1.20888216770254e-07,  6.79643147316611e-11, -9.87939285934658e-10,  2.61808352775006e-11,   3.5527136788005e-13,      16.7550893912955
                1e-12,                     0,               0.00802,           0.008020147,                    39,                   876,      75.4085828722401,      3085.23304980622,     -2343.62467090188,    0.0968693659441797,     -1.49354931593218,     -2.35376560138786,      95.9179763721001,      1.00000000015807,     0.999999999963519,      1.00000000000845,      1.00000000011553,      1.00000000010726,     0.999999999998394,     0.999999999999998,  1.19197096637436e-08, -1.12552697828505e-07, -1.98051566258073e-08,  1.11916170775217e-11,  -1.6019074955409e-10,  3.77964326503388e-12, -1.56319401867222e-13,      16.7550893912949
                1e-13,                     0,              0.008627,           0.008626774,                    41,                   876,      75.4085828722104,      3085.23304980624,     -2343.62467090182,    0.0968693659441325,     -1.49354931593208,     -2.35376560138757,      95.9179763721001,     0.999999999998161,      1.00000000000128,     0.999999999999342,     0.999999999998598,     0.999999999996171,     0.999999999999712,     0.999999999999995, -1.38697942020372e-10,  3.95584720536135e-09,  1.54295776155777e-09, -1.35794153699464e-13,  5.71875879984418e-12,  6.76791955811495e-13, -4.40536496171262e-13,      16.7550893913002
                1e-14,                     0,              0.009157,           0.009157089,                    45,                   876,      75.4085828722284,      3085.23304980621,     -2343.62467090191,    0.0968693659441833,     -1.49354931593218,      -2.3537656013879,      95.9179763721001,     0.999999999998927,      1.00000000000033,     0.999999999999783,     0.999999999999283,     0.999999999999064,     0.999999999999877,                     1, -8.09166067483602e-11,  1.02090780274011e-09,   5.0795279094018e-10, -6.94722057659192e-14,    1.397992832608e-12,  2.90434343241941e-13,  1.27897692436818e-13,      16.7550893912948
                1e-15,                     0,              0.009538,           0.009538546,                    47,                   876,      75.4085828722477,      3085.23304980625,     -2343.62467090196,    0.0968693659441967,     -1.49354931593212,     -2.35376560138798,      95.9179763721002,      0.99999999999966,      1.00000000000006,     0.999999999999904,      0.99999999999972,     0.999999999999869,     0.999999999999908,                     1, -2.56648036156548e-11,  1.78260961547494e-10,  2.25554686039686e-10, -2.71171973764694e-14,  1.95843341543878e-13,   2.1582735598713e-13,   4.2632564145606e-14,      16.7550893912955
