              -0.6,            0.00741,        0.007411585,               1573,   1796.26650574158,   -2585.3455614853,   692.415224706805,   2677.75007875982, -0.863237589860748,  -3.09163875136707, 0.0270407957718289,   65.3288926391772,   4.02418147727421
              -0.5,           0.007214,        0.007216189,               1547,   1776.52835579223,  -2567.88666167895,   755.448030688375,   2677.50861189329, -0.904334362908095,  -3.07923261467755, 0.0699764760397755,   65.3288926391783,   4.06171171487368
              -0.4,           0.007583,        0.007584719,               1599,   1758.91875529782,   -2551.6218810638,   811.648416608456,    2676.6114076416, -0.940828926675564,     -3.06720622629,  0.108371912326224,   65.3288926391779,   4.09852495246771
              -0.3,           0.007379,        0.007380699,               1547,   1742.44938211449,  -2535.78587130871,   864.174471858532,    2675.2174674104, -0.974803385528344,  -3.05512936538946,  0.144352869695847,   65.3288926391797,    4.1358382558651
              -0.2,           0.007445,        0.007447244,               1534,   1727.30688818754,  -2520.72556293851,    912.41381394969,    2673.4321897677,  -1.00589568480735,  -3.04332388598739,  0.177482319056131,   65.3288926391756,   4.17249073106226
              -0.1,            0.00734,        0.007341794,               1547,   1713.21197183327,  -2506.27919753504,   957.258226671199,   2671.33248989988,  -1.03470479168905,  -3.03172967353552,  0.208353325291633,     65.32889263918,    4.2086021054463
                 0,           0.007336,         0.00733898,               1547,   1699.63159482211,  -2491.93161101534,    1000.4137601813,   2668.94083021397,   -1.0623338953859,  -3.01999718332218,  0.238128609223858,   65.3288926391778,   4.24526101931671
               0.1,           0.006999,        0.007001031,               1508,   1687.15147000902,   -2478.4441139724,   1040.00262965149,   2666.36556093617,   -1.0876103833663,  -3.00874317678597,  0.265501922818579,   65.3288926391807,   4.28042423534036
               0.3,           0.007207,        0.007208468,               1547,   1663.32734192543,  -2451.72311688253,   1115.40918880849,   2660.58491683395,  -1.13553372369398,  -2.98596504112164,  0.317798545444096,   65.3288926391778,   4.35171264299074
               0.4,           0.007253,        0.007255205,               1547,   1652.13224607702,  -2438.74988940361,    1150.7499410806,   2657.45546561053,  -1.15789718250098,  -2.97467918601174,  0.342381023377062,   65.3288926391783,   4.38702973084204
               0.5,           0.006953,        0.006954511,               1495,   1641.45946527894,  -2426.15084706738,   1184.37714302879,   2654.21153127284,  -1.17912152410598,  -2.96357595079394,  0.365814262604939,   65.3288926391804,    4.4217474406398
