              -0.6,                  0,           0.006362,        0.006362803,               1391,   1150.73511281321,   99.7214899021992,   2594.38234570377,  -2920.42641039892, 0.0793873586128547,  -2.06103865108227,  -1.82822811267909,   95.9179763721002,   34.9401187904786
              -0.5,                  0,           0.006314,        0.006315937,               1365,   1151.07932561431,   98.7372562822182,   2593.99164043512,  -2921.22425003738,  0.078735510586101,  -2.06135017692277,  -1.82777854134024,    95.917976372102,   34.9386293068999
              -0.4,                  0,             0.0062,        0.006202002,               1339,   1151.44598218461,    99.100752943498,   2594.14005350277,  -2921.82530947933, 0.0789293928527132,   -2.0611191823936,   -1.8272857882737,    95.917976372109,   34.9288501030766
              -0.3,                  0,           0.006506,        0.006507818,               1417,   1151.90391003253,   96.5798855301746,    2593.2252060867,   -2923.0562526846, 0.0773028869746635,  -2.06190182251801,   -1.8266873481315,   95.9179763721044,   34.9320900503616
              -0.2,                  0,           0.006447,        0.006447898,               1404,   1152.22476082246,   98.9809538803004,   2594.13885691487,  -2923.24013992999, 0.0787806451228265,  -2.06093335801528,  -1.82624391654219,   95.9179763720998,     34.91245637076
              -0.1,                  0,           0.006413,        0.006414592,               1391,   1152.58253390734,    98.165669715733,   2593.82364738394,  -2924.02869660842, 0.0782351985321628,  -2.06116408018258,  -1.82577418882723,   95.9179763721063,   34.9095569006005
                 0,                  0,           0.006363,         0.00636463,               1391,   1152.97254770621,   97.5768784015492,   2593.61821140396,   -2924.8268045676, 0.0778294587419013,  -2.06127300002931,  -1.82525708106324,   95.9179763721029,   34.9042909365938
               0.1,                  0,            0.00633,        0.006331872,               1352,   1153.28439813754,   99.0384045746994,   2594.16210632789,  -2925.15642875822, 0.0787166941154333,  -2.06067418616673,  -1.82483468540873,   95.9179763721002,   34.8902068764461
               0.2,                  0,           0.006333,        0.006333805,               1391,   1153.67704671718,   98.5529186861813,   2593.99986043928,  -2925.94057560759, 0.0783755426595184,  -2.06073938669634,  -1.82431372240088,   95.9179763721033,   34.8842599861023
               0.3,                  0,           0.006662,        0.006663822,               1456,   1154.02312845284,   99.5477633404929,   2594.38582000312,  -2926.40075667108, 0.0789662797926756,  -2.06028282805526,  -1.82384713563372,   95.9179763721032,   34.8716105136453
               0.4,                  0,           0.006291,        0.006292558,               1365,   1154.45605327408,   98.4910767913124,   2594.02816804234,  -2927.34295853267, 0.0782640285915392,  -2.06052416507935,  -1.82327437963545,   95.9179763721021,   34.8674751904613
               0.5,                  0,           0.006364,        0.006365814,               1378,   1154.74496556673,   101.800705308022,   2595.28353343888,  -2927.31827803835, 0.0803083336256669,   -2.0592343879683,   -1.8228703361757,   95.9179763720984,   34.8438165383645
